decil,candidato,con_jcf,tasa_decil,reparto_jcf,año
1,443488,3041,0.0068570062775092,0.03376900269841093,2020
2,515265,10183,0.019762646405247785,0.11307785415255461,2020
3,573692,8686,0.015140528367137767,0.09645431023952561,2020
4,576981,10018,0.01736279010920637,0.11124559981344319,2020
5,602237,10318,0.017132789914933822,0.1145769713391003,2020
6,603267,13397,0.02220741396429773,0.14876794776409447,2020
7,574186,7716,0.013438154186970773,0.08568287563990094,2020
8,549680,14205,0.025842308252073933,0.1577404417398643,2020
9,506380,7859,0.01551996524349303,0.08727082940046417,2020
10,355781,4630,0.013013623549318261,0.05141416721264144,2020
1,379019,1113,0.0029365282479242466,0.023927250838421187,2022
2,516957,4454,0.008615803635505468,0.09575199931206467,2022
3,513856,5724,0.011139307510275252,0.12305443288330897,2022
4,517409,3785,0.007315296023068791,0.081369851233984,2022
5,485804,6394,0.013161686606120987,0.1374580789405796,2022
6,488447,6354,0.013008576160770769,0.13659815977298134,2022
7,500976,7149,0.014270144677589346,0.15368905322899648,2022
8,433134,3455,0.00797674622634104,0.07427551810129848,2022
9,429905,6130,0.014258964189762855,0.13178261243443115,2022
10,298935,1958,0.006549918878686002,0.04209304325393413,2022
1,392965,449,0.0011425953965365871,0.016013409893362817,2024
2,502518,941,0.0018725697387954262,0.03356039801704768,2024
3,521955,7555,0.014474427872134571,0.2694461286065837,2024
4,500182,2255,0.0045083589573395285,0.08042369556688897,2024
5,479571,3345,0.006974983891853344,0.1192981204750526,2024
6,476596,4967,0.010421824774022443,0.1771461179072007,2024
7,451341,939,0.00208046687537804,0.03348906879703271,2024
8,445994,3339,0.007486647802436804,0.11908413281500767,2024
9,396856,2803,0.007063015300260044,0.09996790185099326,2024
10,294989,1446,0.00490187769713447,0.05157102607082992,2024
