cve_ent,con_jcf,año
01,223,2020
03,475,2020
04,2601,2020
06,399,2020
07,15316,2020
08,1010,2020
09,3888,2020
10,731,2020
11,900,2020
12,9509,2020
13,2036,2020
15,5407,2020
16,3080,2020
17,1498,2020
18,1757,2020
19,1532,2020
20,4987,2020
21,381,2020
22,690,2020
23,2161,2020
24,983,2020
25,1078,2020
26,412,2020
27,11673,2020
28,3076,2020
29,1073,2020
30,9424,2020
31,2032,2020
32,1721,2020
01,78,2022
03,299,2022
04,1884,2022
05,263,2022
06,326,2022
07,4862,2022
08,283,2022
09,1885,2022
10,1829,2022
11,1980,2022
12,3954,2022
13,453,2022
14,961,2022
15,2644,2022
16,3360,2022
17,1452,2022
18,1128,2022
20,2245,2022
22,339,2022
23,1737,2022
24,382,2022
25,830,2022
26,523,2022
27,4892,2022
29,1245,2022
30,3211,2022
31,1532,2022
32,1939,2022
03,26,2024
04,255,2024
06,157,2024
07,732,2024
08,102,2024
10,361,2024
11,279,2024
12,2844,2024
15,1681,2024
16,1051,2024
17,2116,2024
18,386,2024
19,45,2024
22,189,2024
23,1012,2024
24,606,2024
26,765,2024
27,5049,2024
28,1907,2024
29,948,2024
30,6137,2024
31,579,2024
32,812,2024
