clave,monto_exp,pct,programa,año
P108,751816281.66,86.25,JCF,2020
P104,37850836.35,4.34,Adultos mayores,2020
P101,23784439.25,2.73,Benito Juarez basica,2020
P102,20024748.52,2.3,BJ media superior,2020
P048,16986231.34,1.95,Otros programas sociales,2020
P043,9970757.24,1.14,PROCAMPO/ProAgro,2020
P105,6718572.86,0.77,Discapacidad,2020
P103,3630889.6700000004,0.42,Jov Escribiendo,2020
P045,419775.20999999996,0.05,Otros adultos mayores,2020
P106,451955.35000000003,0.05,Madres trabajadoras,2020
P108,596929007.7,89.17,JCF,2022
P101,22597100.09,3.38,Benito Juarez basica,2022
P104,18542308.42,2.77,Adultos mayores,2022
P043,13311402.21,1.99,PROCAMPO/ProAgro,2022
P103,5447956.1899999995,0.81,Jov Escribiendo,2022
P048,4646893.89,0.69,Otros programas sociales,2022
P105,4237249.95,0.63,Discapacidad,2022
P102,2583716.61,0.39,BJ media superior,2022
P045,907557.0399999999,0.14,Otros adultos mayores,2022
P106,218347.26,0.03,Madres trabajadoras,2022
P108,580343354.74,91.24,JCF,2024
P104,35380700.24,5.56,Adultos mayores,2024
P043,7484009.029999999,1.18,PROCAMPO/ProAgro,2024
P105,5609539.669999999,0.88,Discapacidad,2024
P048,2991128.4499999997,0.47,Otros programas sociales,2024
P102,2878987.25,0.45,BJ media superior,2024
P101,1389532.54,0.22,Benito Juarez basica,2024
