año,cve_ent,beneficiarios,candidatos_estimados,tasa
2019,00,1118697,7388090,0.1514189729686563
2020,00,1230976,7402706,0.16628730088699997
2021,00,922916,7405119,0.12463216323734973
2022,00,681002,7399814,0.092029610473993
2023,00,677239,7392411,0.09161273635894975
2024,00,489487,7385563,0.06627619316225453
2025,00,466431,7382354,0.06318187938427228
2019,01,6138,73589,0.08340920518012203
2019,02,2799,185839,0.01506142413594563
2019,03,4217,36923,0.11421065460553043
2019,04,27437,54146,0.506722564917076
2019,05,7235,184457,0.039223233599158615
2019,06,9043,33029,0.2737896999606407
2019,07,150961,481483,0.31353339577929024
2019,08,12207,189853,0.06429711408300105
2019,09,48632,401598,0.12109622059870816
2019,10,9909,115215,0.08600442650696524
2019,11,14387,383310,0.03753358900106963
2019,12,79350,264093,0.3004623371312379
2019,13,26932,175905,0.1531053693755152
2019,14,22791,409928,0.05559756835346695
2019,15,100271,1023805,0.09793954903521666
2019,16,67442,296587,0.22739364840670698
2019,17,39231,104009,0.3771885125325693
2019,18,13888,65982,0.21048164650965415
2019,19,5481,308121,0.017788466219439764
2019,20,52271,293480,0.17810753714052066
2019,21,33257,413573,0.08041385680399833
2019,22,11312,128274,0.08818622635919984
2019,23,15462,109926,0.1406582610119535
2019,24,14898,167847,0.0887594058875047
2019,25,15045,154858,0.09715352129047256
2019,26,6156,156385,0.039364389167759056
2019,27,114819,166179,0.690935677793223
2019,28,21767,191810,0.11348209165319847
2019,29,27645,83375,0.3315742128935532
2019,30,115972,512036,0.226491887289175
2019,31,23408,121421,0.19278378534190954
2019,32,18334,101054,0.18142775149919846
2020,01,7853,74348,0.10562489912304299
2020,02,2821,188626,0.014955520447870388
2020,03,5961,37480,0.15904482390608324
2020,04,35498,53554,0.6628449788998021
2020,05,7771,186055,0.04176721937061621
2020,06,8400,32823,0.2559181062060141
2020,07,164259,483459,0.33975786985039064
2020,08,14064,191415,0.07347386568450748
2020,09,42288,397888,0.10628116454881775
2020,10,11795,115551,0.10207613954011649
2020,11,14679,384332,0.038193541001009544
2020,12,87270,262459,0.33250907760831216
2020,13,27453,177509,0.15465694697170285
2020,14,23874,411131,0.058069082603841596
2020,15,94539,1025139,0.09222066470985886
2020,16,75850,295907,0.2563305362833593
2020,17,39942,103765,0.3849274803642847
2020,18,15034,66032,0.2276774897019627
2020,19,5798,312931,0.01852804611879296
2020,20,61026,293466,0.20794913209707427
2020,21,38242,416679,0.09177808336873229
2020,22,12564,130250,0.09646065259117083
2020,23,18429,111556,0.1651995410376851
2020,24,16013,168478,0.09504505039233609
2020,25,16011,155072,0.10324881345439538
2020,26,6211,157128,0.03952828267399827
2020,27,137541,164163,0.8378319109665393
2020,28,23468,192369,0.12199470808706185
2020,29,32662,83913,0.38923647110697984
2020,30,131337,506025,0.25954646509559803
2020,31,29331,122280,0.2398675171736997
2020,32,22992,100923,0.22781724681192592
2021,01,7840,74770,0.10485488832419419
2021,02,1986,189429,0.01048413917615571
2021,03,7116,37969,0.18741604993547367
2021,04,27769,53103,0.5229271415927537
2021,05,6206,187088,0.033171555631574444
2021,06,5475,32709,0.16738512336054298
2021,07,100445,486293,0.20655242826855413
2021,08,11450,192717,0.05941354421249812
2021,09,38060,390313,0.09751148437279825
2021,10,13231,115855,0.11420309870096242
2021,11,12080,384344,0.031430177132985036
2021,12,61759,262043,0.23568269329842811
2021,13,19075,179136,0.10648334226509468
2021,14,17402,411188,0.04232127396713912
2021,15,65329,1023907,0.06380364622958921
2021,16,53454,295466,0.18091421686420772
2021,17,29600,103454,0.28611750149825044
2021,18,10196,66391,0.15357503276046452
2021,19,4314,314793,0.013704243741125121
2021,20,50528,294219,0.1717360197675881
2021,21,36932,418535,0.08824112678748491
2021,22,9388,131032,0.07164662067281274
2021,23,17697,111277,0.15903555990905577
2021,24,14090,168735,0.08350371884908288
2021,25,13672,155405,0.08797657733020173
2021,26,5063,157948,0.03205485349608732
2021,27,86279,163327,0.528259259032493
2021,28,17335,193078,0.08978236774774961
2021,29,35083,84484,0.4152620614554235
2021,30,96028,502493,0.19110315964600502
2021,31,28424,122494,0.23204401848253792
2021,32,19610,101124,0.19392033542976939
2022,01,6175,75046,0.08228286650854143
2022,02,2640,189899,0.013902126920099633
2022,03,6732,38402,0.17530336961616583
2022,04,19445,52647,0.3693467813930518
2022,05,5114,187768,0.027235737718887137
2022,06,6327,32575,0.19422870299309286
2022,07,64353,488998,0.13160176524239364
2022,08,9590,193817,0.049479663806580435
2022,09,27988,382434,0.07318386963502199
2022,10,10276,116013,0.08857628024445537
2022,11,10602,383810,0.02762304265131185
2022,12,44088,261336,0.16870236017999815
2022,13,13011,180704,0.07200172658048522
2022,14,13889,410782,0.03381112122731765
2022,15,55787,1021313,0.054622823757261484
2022,16,39925,294857,0.1354046198665794
2022,17,21834,103004,0.21197235058832667
2022,18,9097,66749,0.13628668594286056
2022,19,3909,316029,0.012369118023978812
2022,20,30930,294983,0.10485350003220524
2022,21,29053,419724,0.06921929649007443
2022,22,7252,131556,0.055124813767521055
2022,23,12972,110918,0.11695126129212571
2022,24,12946,168763,0.07671112743907137
2022,25,10750,155433,0.0691616323431961
2022,26,5007,158588,0.03157237622014276
2022,27,57035,162542,0.3508939228014913
2022,28,13546,193642,0.06995383232976317
2022,29,25354,84916,0.29857741768335766
2022,30,68218,498766,0.1367735571390191
2022,31,23076,122465,0.18842934716041318
2022,32,14081,101335,0.1389549513988257
2023,01,8038,75235,0.10683857247291818
2023,02,4845,190204,0.02547265041744653
2023,03,6069,38830,0.15629667782642287
2023,04,18374,52241,0.3517160850672843
2023,05,5383,188233,0.028597536032470394
2023,06,8416,32453,0.2593288756047207
2023,07,19198,491907,0.039027702390899095
2023,08,13090,194783,0.06720298999399331
2023,09,28151,374670,0.0751354525315611
2023,10,17281,116129,0.1488086524468479
2023,11,9593,382965,0.025049286488321387
2023,12,57676,260447,0.22145004549870032
2023,13,12151,182291,0.06665715806046377
2023,14,12399,410256,0.03022259272259272
2023,15,58379,1018074,0.05734259002783688
2023,16,37157,294358,0.12623064431746378
2023,17,30223,102515,0.29481539286933617
2023,18,9964,67156,0.14837095717434035
2023,19,4043,317003,0.012753822519029788
2023,20,16620,295922,0.056163448476287674
2023,21,36883,420577,0.08769618880728143
2023,22,10041,132009,0.07606299570483831
2023,23,12385,110665,0.111914336059278
2023,24,20292,168664,0.12031020253284637
2023,25,12649,155267,0.08146611965195437
2023,26,7709,159149,0.048438884315955485
2023,27,49728,161901,0.3071506661478311
2023,28,18170,194152,0.09358646833408875
2023,29,30309,85277,0.35541822531280415
2023,30,66374,495106,0.13406018105213832
2023,31,20699,122347,0.16918273435392775
2023,32,14950,101625,0.14710947109471095
2024,01,5465,75375,0.07250414593698176
2024,02,3295,190412,0.017304581644014033
2024,03,4281,39270,0.10901451489686784
2024,04,12036,51913,0.2318494404099166
2024,05,3356,188590,0.017795217137706133
2024,06,6411,32358,0.19812720192842573
2024,07,10020,495301,0.020230122693069466
2024,08,9174,195659,0.04688769747366592
2024,09,18477,367188,0.0503202719043106
2024,10,12499,116257,0.10751180574072959
2024,11,6126,381907,0.016040554375803533
2024,12,48272,259617,0.18593543566099294
2024,13,8073,183912,0.043895993736134675
2024,14,9262,409762,0.02260336488010113
2024,15,37830,1014459,0.037290812147164155
2024,16,29815,294065,0.10138914865760972
2024,17,22732,102001,0.22286056019058637
2024,18,7031,67633,0.10395812694986176
2024,19,2700,317804,0.00849580244427383
2024,20,9431,297150,0.03173817937068821
2024,21,26413,421185,0.06271116017901872
2024,22,7811,132435,0.05897987692075358
2024,23,9064,110573,0.08197299521583026
2024,24,15754,168462,0.09351663876719972
2024,25,8832,154994,0.056982850949069
2024,26,6160,159606,0.03859504028670601
2024,27,38420,161487,0.23791388780521033
2024,28,14458,194672,0.07426851319141942
2024,29,25039,85568,0.29262107329842935
2024,30,47640,491796,0.09686943366761828
2024,31,13053,122185,0.10682980725948357
2024,32,10557,101967,0.10353349613110124
2025,01,6363,75511,0.08426586854895313
2025,02,4913,190609,0.025775278187283916
2025,03,5456,39735,0.13730967660752486
2025,04,10097,51692,0.19533003172637933
2025,05,6155,188959,0.03257320371085791
2025,06,8741,32301,0.27061081700256956
2025,07,18126,499407,0.03629504592446642
2025,08,10601,196494,0.05395075676610991
2025,09,20785,360140,0.057713666907313825
2025,10,12352,116460,0.1060621672677314
2025,11,11461,380846,0.03009352861786654
2025,12,30128,258934,0.11635397437184765
2025,13,12146,185601,0.06544145775076643
2025,14,9297,409478,0.02270451648195996
2025,15,33724,1010872,0.03336129598999676
2025,16,23385,294110,0.07951106728774948
2025,17,18524,101519,0.1824683064253982
2025,18,8982,68195,0.13171053596304713
2025,19,5988,318614,0.01879390108407038
2025,20,12651,298729,0.042349420377666716
2025,21,18976,421747,0.044993799600234266
2025,22,10216,132903,0.07686809176617533
2025,23,9929,110705,0.08968881261008987
2025,24,16335,168220,0.09710498157175128
2025,25,12492,154696,0.08075192635879402
2025,26,10241,160010,0.06400224985938378
2025,27,27438,161347,0.17005584237698873
2025,28,17904,195245,0.0917001715792978
2025,29,15388,85829,0.17928672127136516
2025,30,29204,489000,0.05972188139059305
2025,31,16334,122057,0.13382272217078905
2025,32,12099,102389,0.1181669905946928
